Title,Genre,Description,Type,imdbRating
When a Man Loves a Woman,"Drama, Romance","An airline pilot and his wife are forced to face the consequences of her alcoholism when her addictions threaten her life and their daughter's safety. While the woman enters detox, her husband must face the truth of his enabling behavior.",movie,6.5
I Could Never Be Your Woman,"Comedy, Drama, Romance",A mother falls for a younger man while her daughter falls in love for the first time. Mother Nature messes with their fates.,movie,6.1
A Woman Under the Influence,"Drama, Romance","Mabel, a wife and mother, is loved by her husband Nick but her madness proves to be a problem in the marriage. The film transpires to a positive role of madness in the family, challenging conventional representations of madness in cinema.",movie,8.2
Life of Pi,"Adventure, Drama, Fantasy","A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",movie,8.0
Life Is Beautiful,"Comedy, Drama, War","When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",movie,8.6
It's a Wonderful Life,"Drama, Family, Fantasy",An angel helps a compassionate but despairingly frustrated businessman by showing what life would have been like if he never existed.,movie,8.6
Life of Brian,Comedy,"Brian is born on the original Christmas, in the stable next door. He spends his life being mistaken for a messiah.",movie,8.1
The Secret Life of Walter Mitty,"Adventure, Comedy, Drama","When his job along with that of his co-worker are threatened, Walter takes action in the real world embarking on a global journey that turns into an adventure more extraordinary than anything he could have ever imagined.",movie,7.3
A Bug's Life,"Animation, Adventure, Comedy","A misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe.",movie,7.2
A Bug's Life,"Animation, Adventure, Comedy","A misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe.",movie,7.2
The Life Aquatic with Steve Zissou,"Adventure, Comedy, Drama","With a plan to exact revenge on a mythical shark that killed his partner, oceanographer Steve Zissou rallies a crew that includes his estranged wife, a journalist, and a man who may or may not be his son.",movie,7.3
The Tree of Life,"Drama, Fantasy","The story of a family in Waco, Texas in 1956. The eldest son witnesses the loss of innocence and struggles with his parents' conflicting teachings.",movie,6.7
Lara Croft Tomb Raider: The Cradle of Life,"Action, Adventure, Fantasy",Adventuress Lara Croft goes on a quest to save the mythical Pandora's Box before an evil scientist and recruits a former Marine turned mercenary to assist her.,movie,5.5
World War Z,"Action, Adventure, Horror","Former United Nations employee Gerry Lane traverses the world in a race against time to stop the Zombie pandemic that is toppling armies and governments, and threatening to destroy humanity itself.",movie,7.0
Jurassic World,"Action, Adventure, Sci-Fi",A new theme park is built on the original site of Jurassic Park. Everything is going well until the park's newest attraction - a genetically modified giant stealth killing machine - escapes containment and goes on a killing spree.,movie,7.0
Thor: The Dark World,"Action, Adventure, Fantasy","When Dr. Jane Foster gets cursed with a powerful entity known as the Aether, Thor is heralded of the cosmic event known as the Convergence and the genocidal Dark Elves.",movie,7.1
The Lost World: Jurassic Park,"Action, Adventure, Sci-Fi",A research team is sent to the Jurassic Park Site B island to study the dinosaurs there while another team approaches with another agenda.,movie,6.5
Scott Pilgrim vs. the World,"Action, Comedy, Fantasy",Scott Pilgrim must defeat his new girlfriend's seven evil exes in order to win her heart.,movie,7.5
Master and Commander: The Far Side of the World,"Action, Adventure, Drama","During the Napoleonic Wars, a brash British captain pushes his ship and crew to their limits in pursuit of a formidable French war vessel around South America.",movie,7.4
The World Is Not Enough,"Action, Adventure, Thriller","James Bond uncovers a nuclear plot when he protects an oil heiress from her former kidnapper, an international terrorist who can't feel pain.",movie,6.4
Team America: World Police,"Action, Comedy","Popular Broadway actor Gary Johnston is recruited by the elite counter-terrorism organization Team America: World Police. As the world begins to crumble around him, he must battle with terrorists, celebrities and falling in love.",movie,7.2
Wayne's World,"Comedy, Music",Two slacker friends try to promote their public-access cable show.,movie,7.0
Ghost World,"Comedy, Drama","With only the plan of moving in together after high school, two unusually devious friends seek direction in life. As a mere gag, they respond to a man's newspaper ad for a date, only to find it will greatly complicate their lives.",movie,7.4
Night at the Museum,"Adventure, Comedy, Family",A newly recruited night security guard at the Museum of Natural History discovers that an ancient curse causes the animals and exhibits on display to come to life and wreak havoc.,movie,6.4
30 Days of Night,"Horror, Thriller","After an Alaskan town is plunged into darkness for a month, it is attacked by a bloodthirsty gang of vampires.",movie,6.6
Night at the Museum: Battle of the Smithsonian,"Adventure, Comedy, Family","Security guard Larry Daley infiltrates the Smithsonian Institution in order to rescue Jedediah and Octavius, who have been shipped to the museum by mistake.",movie,5.9
Date Night,"Comedy, Crime, Romance","In New York City, a case of mistaken identity turns a bored married couple's attempt at a glamorous and romantic evening into something more thrilling and dangerous.",movie,6.3
Night of the Living Dead,"Drama, Horror, Mystery",There is panic throughout the nation as the dead suddenly come back to life. The film follows a group of characters who barricade themselves in an old farmhouse in an attempt to remain safe from these flesh eating monsters.,movie,8.0
Fright Night,"Comedy, Horror","After a new neighbor moved into the house next door, Charley discovers that he is an ancient vampire and goes in search for the help of Peter Vincent, a famous ""vampire killer"" to save his neighborhood from the creature.",movie,6.4
"Good Night, and Good Luck.","Biography, Drama, History",Broadcast journalist Edward R. Murrow looks to bring down Senator Joseph McCarthy.,movie,7.5
Run All Night,"Action, Crime, Drama","Mobster and hit man Jimmy Conlon has one night to figure out where his loyalties lie: with his estranged son, Mike, whose life is in danger, or his longtime best friend, mob boss Shawn Maguire, who wants Mike to pay for the death of his own son.",movie,6.6
We Own the Night,"Crime, Drama, Thriller",A New York nightclub manager tries to save his brother and father from Russian mafia hit men.,movie,6.9
Night at the Museum 3,"Adventure, Comedy, Family","Larry spans the globe, uniting favorite and new characters while embarking on an epic quest to save the magic before it is gone forever.",movie,6.2
The Imitation Game,"Biography, Drama, Thriller","During World War II, mathematician Alan Turing tries to crack the enigma code with help from fellow mathematicians.",movie,8.1
Sherlock Holmes: A Game of Shadows,"Action, Adventure, Crime","Sherlock Holmes and his sidekick Dr. Watson join forces to outwit and bring down their fiercest adversary, Professor Moriarty.",movie,7.5
The Game,"Drama, Mystery, Thriller","Nicholas Van Orton is a very wealthy San Francisco banker, but he is an absolute loner, even spending his birthday alone. In the year of his 48th birthday (the age his father committed ...",movie,7.8
Ender's Game,"Action, Sci-Fi","Young Ender Wiggin is recruited by the International Military to lead the fight against the Formics, a genocidal alien race which nearly annihilated the human race in a previous invasion.",movie,6.7
Spy Game,"Action, Crime, Thriller",Retiring CIA agent Nathan Muir recalls his training of Tom Bishop while working against agency politics to free him from his Chinese captors.,movie,7.0
The Game Plan,"Comedy, Family, Sport",An NFL quarterback living the bachelor lifestyle discovers that he has an 8-year-old daughter from a previous relationship.,movie,6.2
The Crying Game,"Crime, Drama, Romance","A British soldier is kidnapped by IRA terrorists. He befriends one of his captors, who is drawn into the soldier's world.",movie,7.3
Spy Kids 3-D: Game Over,"Action, Adventure, Comedy","Carmen's caught in a virtual reality game designed by the Kids' new nemesis, the Toymaker (Stallone). It's up to Juni to save his sister, and ultimately the world.",movie,4.2
Fair Game,"Biography, Drama, Thriller",CIA operative Valerie Plame discovers her identity is allegedly leaked by the government as payback for an op-ed article her husband wrote criticizing the Bush administration.,movie,6.8
"Crazy, Stupid, Love.","Comedy, Drama, Romance","A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars.",movie,7.4
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy,An insane general triggers a path to nuclear holocaust that a war room full of politicians and generals frantically try to stop.,movie,8.5
Love Actually,"Comedy, Drama, Romance","Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.",movie,7.7
Shakespeare in Love,"Comedy, Drama, Romance","A young Shakespeare, out of ideas and short of cash, meets his ideal woman and is inspired to write one of his most famous plays.",movie,7.2
P.S. I Love You,"Drama, Romance",A young widow discovers that her late husband has left her 10 messages intended to help ease her pain and start a new life.,movie,7.1
"I Love You, Man","Comedy, Romance","Friendless Peter Klaven goes on a series of man-dates to find a Best Man for his wedding. But, when his insta-bond with his new B.F.F. puts a strain on his relationship with his fiancée, can the trio learn to live happily ever after?",movie,7.0
Love & Other Drugs,"Comedy, Drama, Romance",A young woman suffering from Parkinson's befriends a drug rep working for Pfizer in 1990s Pittsburgh.,movie,6.7
Punch-Drunk Love,"Comedy, Drama, Romance","A psychologically troubled novelty supplier is nudged towards a romance with an English woman, all the while being extorted by a phone-sex line run by a crooked mattress salesman, and purchasing stunning amounts of pudding.",movie,7.3
From Paris with Love,"Action, Thriller","In Paris, a young employee in the office of the US Ambassador hooks up with an American spy looking to stop a terrorist attack in the city.",movie,6.5
